X_1_train,X_2_train,X_3_train,X_4_train,X_5_train,X_6_train,X_7_train,X_8_train,X_9_train,X_10_train,X_11_train,X_12_train,X_13_train,X_14_train,X_15_train,y_t_obs,delta_t,type
1.2582081474744093,0.22375198442976557,0.11257169554156395,0.24248219805090795,-0.32590500300025815,0.10974371300918587,0.9062837999658595,-0.6651206729770428,0.995037471747961,-0.3056470933137442,1.0,1.0,1.0,0.0,1.0,0.8463686735954686,1,train
-0.008683312051140563,0.7524077586443639,0.06464435964483635,0.8363293078438316,-2.470510358821845,-0.3259767251488555,-1.2738817137300484,-0.05948121963801153,-0.3699345136141063,1.7619728454410908,1.0,1.0,0.0,0.0,1.0,2.6177214536447595,1,train
-0.8617335659958452,0.8885250989837792,-0.6863586808203875,2.1461693465121097,-0.20725258883776304,-0.9574241811274102,1.1582971578206835,-1.8616823069854782,1.19877582604558,-1.2103569763429807,0.0,1.0,1.0,0.0,1.0,0.6638675411720556,1,train
-0.43497908935079654,1.0029834615289022,0.7224063075613293,-1.3348843571096574,1.1570900249583185,-1.5253813035667436,-0.5730436558452554,0.18735113764229794,-0.9343522668768972,-0.37764351760047155,1.0,0.0,1.0,0.0,0.0,0.7707800931829214,0,train
0.6988133031038232,2.029419421451276,0.13650351967214389,0.5547516639479044,-0.8773143998853412,-0.7073365366246033,-0.4476390879031219,0.7970583555134803,0.7252029759863161,-0.5729247952623063,0.0,0.0,1.0,0.0,1.0,0.595500819499626,0,train
-0.5288321139632078,-1.2997901725579746,-0.2020234662037714,0.4324836587555371,0.18536666091315626,0.9864634880816016,0.5997031307311421,-0.3420139779829683,0.9097587186935945,-1.0916491410853544,0.0,0.0,1.0,1.0,1.0,0.23701619782313493,1,train
0.19782624669523077,-0.14084686212308822,0.9965266383080886,1.1250346205157307,1.091632317788477,-2.412067722913509,-1.6984945038312393,-0.24409081070540783,0.4579533506375256,-1.494944561610783,0.0,1.0,1.0,1.0,0.0,0.5177348874086954,0,train
-0.5380688811966836,-0.7307040228387229,1.2320261923885907,-0.3655769755714507,0.35749970531053377,0.3449708842568908,0.22318557767428684,-0.933634271030204,0.9714986226306465,-0.8350795910170644,0.0,0.0,0.0,0.0,0.0,0.3112550678173093,0,train
-1.1257681728762068,0.12412920631683788,-0.029151164192670914,-0.09346420198196742,0.5980083315153004,-0.7004668786500778,-0.627323615700109,-1.1422797477468576,-1.064338398325853,0.7969893133626115,0.0,1.0,1.0,1.0,1.0,1.3174680151697329,1,train
-0.5914634779335699,-1.0477953124901696,1.9328810614090286,2.2595089159459993,0.6522940878408481,0.3054398101587447,1.9012276615655597,0.6443688490413915,-1.5549924773293973,0.5006884877483196,0.0,0.0,1.0,0.0,1.0,0.9975095247579244,1,train
